연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,출생연도,투구유형,타격유형,포지션
2024,28,전준우,롯데,0.293,109,483,423,57,124,26,2,17,205,82,1,5,49,0,5,84,11,0.485,0.369,0.854,37,0.243,0.0,45,102,118,0.86,5,0.58,3.83,0.191,73.6,0.287,7,144,66,74,4,0.471,20.0,1986.0,우투,우타,외야수
2024,16,허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6,36,0,18,25,8,0.427,0.384,0.811,38,0.296,0.5,35,125,144,0.87,4,1.44,3.69,0.118,69.3,0.28,4,144,74,68,2,0.521,13.0,1990.0,우투,우타,내야수
2024,26,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9,47,1,9,76,10,0.418,0.357,0.775,44,0.257,0.25,46,125,173,0.72,10,0.62,3.73,0.124,78.4,0.265,3,144,76,66,2,0.535,11.0,1988.0,우투,좌타,외야수
2024,55,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,49,1,7,128,15,0.488,0.316,0.804,34,0.286,0.667,60,96,181,0.53,10,0.38,4.05,0.242,80.8,0.264,4,144,74,68,2,0.521,13.0,1991.0,우투,우타,내야수
2024,1,에레디아,SSG,0.36,136,591,541,82,195,31,1,21,291,118,0,9,28,3,13,73,12,0.538,0.399,0.937,59,0.428,0.0,53,128,154,0.83,13,0.38,3.46,0.177,105.2,0.314,6,144,72,70,2,0.507,15.0,1991.0,좌투,우타,외야수
2024,2,레이예스,롯데,0.352,144,632,574,88,202,40,3,15,293,111,0,11,46,2,1,82,16,0.51,0.394,0.904,61,0.395,0.0,58,168,133,1.26,13,0.56,3.87,0.159,106.2,0.305,7,144,66,74,4,0.471,20.0,1994.0,우투,양타,외야수
2024,3,김도영,KIA,0.347,141,625,544,143,189,29,10,38,352,109,1,7,66,7,7,110,10,0.647,0.42,1.067,58,0.317,0.5,77,101,151,0.67,15,0.6,3.81,0.3,138.2,0.351,1,144,87,55,2,0.613,0.0,2003.0,우투,우타,내야수
2024,4,구자욱,삼성,0.343,129,568,493,92,169,39,1,33,309,115,2,6,55,4,12,73,6,0.627,0.417,1.044,52,0.341,0.0,73,128,129,0.99,12,0.75,3.8,0.284,118.5,0.344,2,144,78,64,2,0.549,9.0,1993.0,우투,좌타,내야수
2024,5,송성문,키움,0.34,142,602,527,88,179,29,4,19,273,104,0,8,64,2,3,82,5,0.518,0.409,0.927,47,0.372,0.333,52,136,138,0.99,11,0.78,3.88,0.178,111.4,0.314,10,144,58,86,0,0.403,30.0,1996.0,우투,좌타,내야수
2024,6,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4,96,3,12,93,8,0.41,0.447,0.857,51,0.389,1.0,26,159,100,1.59,6,1.03,4.14,0.074,99.5,0.304,3,144,76,66,2,0.535,11.0,1993.0,우투,좌타,외야수
2024,7,로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4,88,9,6,115,10,0.568,0.421,0.989,54,0.313,0.0,72,112,161,0.7,12,0.77,4.0,0.24,126.7,0.331,5,144,72,70,2,0.507,15.0,1990.0,우투,양타,외야수
