연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2022,6,김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,0,3,6,김혜성,키움,0.318,47,3,0,83,9,0.403,0.373,0.776,43,0.295,0,6,김혜성,키움,0.318,29,165,107,1.54,5,0.57,3.87,0.085,78.5,0.269
2022,7,문보경,LG,0.315,126,466,406,52,128,22,3,9,183,56,5,7,7,문보경,LG,0.315,47,1,1,56,11,0.451,0.382,0.833,35,0.287,0.25,7,문보경,LG,0.315,34,124,105,1.18,7,0.84,3.73,0.135,69.7,0.285
2022,8,소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,0,4,8,소크라테스,KIA,0.311,34,4,2,81,11,0.494,0.354,0.848,47,0.296,0,8,소크라테스,KIA,0.311,53,125,152,0.82,8,0.42,3.65,0.183,82.8,0.283
2022,9,페르난데스,두산,0.309,139,550,508,52,157,28,0,6,203,77,0,5,9,페르난데스,두산,0.309,35,0,2,45,34,0.4,0.353,0.753,43,0.343,0.5,9,페르난데스,두산,0.309,34,194,117,1.66,4,0.78,3.78,0.091,60.2,0.259
2022,10,조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3,10,조용호,KT,0.308,49,3,3,74,3,0.382,0.374,0.756,39,0.293,0.2,10,조용호,KT,0.308,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264
2022,11,한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,0,4,11,한동희,롯데,0.307,33,2,6,64,15,0.458,0.359,0.817,41,0.278,0.444,11,한동희,롯데,0.307,41,154,102,1.51,4,0.52,3.52,0.151,69.2,0.276
2022,12,전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,0,9,12,전준우,롯데,0.304,35,1,3,73,14,0.445,0.35,0.795,45,0.285,0.25,12,전준우,롯데,0.304,43,146,117,1.25,7,0.48,3.57,0.14,70.3,0.269
2022,13,최지훈,SSG,0.304,144,640,569,93,173,32,4,10,243,61,13,4,13,최지훈,SSG,0.304,47,0,7,77,7,0.427,0.362,0.789,43,0.362,1,13,최지훈,SSG,0.304,46,151,172,0.88,9,0.61,3.63,0.123,90,0.27
2022,14,박성한,SSG,0.298,140,564,494,68,147,24,4,2,185,56,6,2,14,박성한,SSG,0.298,60,1,2,81,5,0.374,0.375,0.749,35,0.31,0,14,박성한,SSG,0.298,30,156,112,1.39,7,0.74,3.99,0.077,70.7,0.262
2022,15,마티니,NC,0.296,139,576,510,67,151,34,1,16,235,85,0,7,15,마티니,NC,0.296,51,5,8,86,8,0.461,0.365,0.826,42,0.306,1,15,마티니,NC,0.296,51,123,157,0.78,6,0.59,3.81,0.165,85.7,0.28
2022,16,채은성,LG,0.296,126,526,467,48,138,26,2,12,204,83,0,11,16,채은성,LG,0.296,27,3,21,88,16,0.437,0.354,0.791,31,0.279,0,16,채은성,LG,0.296,40,115,137,0.84,11,0.31,3.71,0.141,69.8,0.269
2022,17,박해민,LG,0.289,144,636,570,97,165,20,8,3,210,49,7,6,17,박해민,LG,0.289,44,0,9,85,4,0.368,0.347,0.715,42,0.333,0,17,박해민,LG,0.289,31,158,168,0.94,9,0.52,4.01,0.079,78.4,0.248
2022,18,허경민,두산,0.289,121,493,432,59,125,23,0,8,172,60,2,7,18,허경민,두산,0.289,36,3,16,40,12,0.398,0.36,0.758,33,0.317,0,18,허경민,두산,0.289,31,141,133,1.06,8,0.9,3.83,0.109,63.6,0.262
2022,19,터크먼,한화,0.289,144,648,575,88,166,37,4,12,247,43,0,2,19,터크먼,한화,0.289,64,5,7,104,12,0.43,0.366,0.796,47,0.216,0,19,터크먼,한화,0.289,53,150,157,0.96,2,0.62,4,0.141,86.8,0.272
2022,20,김선빈,KIA,0.287,140,587,505,51,145,23,0,3,177,61,7,3,20,김선빈,KIA,0.287,65,0,6,47,14,0.35,0.373,0.723,40,0.265,0.333,20,김선빈,KIA,0.287,26,182,134,1.36,6,1.38,3.96,0.063,69.7,0.255
2022,21,김현수,LG,0.286,141,604,524,78,150,25,2,23,248,106,0,3,21,김현수,LG,0.286,71,7,5,62,5,0.473,0.375,0.848,43,0.275,0,21,김현수,LG,0.286,50,145,170,0.85,17,1.15,3.76,0.187,93.6,0.287
2022,22,홍창기,LG,0.286,118,525,437,76,125,19,4,1,155,51,5,5,22,홍창기,LG,0.286,59,0,19,75,11,0.355,0.39,0.745,34,0.385,0,22,홍창기,LG,0.286,24,154,88,1.75,8,0.79,4.1,0.069,66.7,0.264
2022,23,안치홍,롯데,0.284,132,562,493,71,140,27,3,14,215,58,8,5,23,안치홍,롯데,0.284,51,4,5,52,13,0.436,0.354,0.79,38,0.222,0.333,23,안치홍,롯데,0.284,44,152,154,0.99,7,0.98,3.85,0.152,75.2,0.268
2022,24,양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,0,10,24,양의지,NC,0.283,60,6,13,48,16,0.48,0.38,0.86,28,0.35,0.667,24,양의지,NC,0.283,44,105,163,0.64,12,1.25,3.63,0.197,78.9,0.291
2022,25,노시환,한화,0.281,115,490,434,55,122,24,1,6,166,59,0,4,25,노시환,한화,0.281,48,1,4,95,13,0.382,0.355,0.737,33,0.322,1,25,노시환,한화,0.281,31,119,102,1.17,5,0.51,3.91,0.101,58.3,0.255
2022,26,노진혁,NC,0.28,115,451,396,50,111,24,0,15,180,75,3,5,26,노진혁,NC,0.28,45,3,2,105,11,0.455,0.353,0.808,26,0.295,0,26,노진혁,NC,0.28,39,88,97,0.91,8,0.43,3.93,0.174,62.4,0.273
2022,27,손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,1,6,27,손아섭,NC,0.277,59,2,3,76,9,0.367,0.347,0.714,45,0.3,0,27,손아섭,NC,0.277,37,198,128,1.55,4,0.78,3.9,0.089,72.2,0.248
2022,28,푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,0,4,28,푸이그,키움,0.277,58,1,12,100,6,0.474,0.367,0.841,37,0.268,0,28,푸이그,키움,0.277,51,88,158,0.56,8,0.58,3.83,0.197,83.4,0.284
2022,29,박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,0,6,29,박병호,KT,0.275,40,3,12,131,7,0.559,0.349,0.908,24,0.259,0.429,29,박병호,KT,0.275,52,75,111,0.68,11,0.31,3.93,0.284,83.6,0.297
2022,30,류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2,30,류지혁,KIA,0.274,56,0,6,83,6,0.346,0.369,0.715,28,0.305,0.286,30,류지혁,KIA,0.274,23,130,83,1.57,8,0.67,3.93,0.072,55.6,0.253
2022,31,정은원,한화,0.274,140,601,508,67,139,20,2,8,187,49,4,3,31,정은원,한화,0.274,85,0,1,109,10,0.368,0.377,0.745,37,0.254,0.333,31,정은원,한화,0.274,30,138,125,1.1,4,0.78,4.33,0.094,75.1,0.262
2022,32,박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,8,7,32,박찬호,KIA,0.272,57,0,1,67,9,0.341,0.344,0.685,34,0.277,0,32,박찬호,KIA,0.272,26,160,139,1.15,8,0.85,4,0.069,67.1,0.24
2022,33,오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,3,3,33,오지환,LG,0.269,62,2,7,107,11,0.47,0.357,0.827,35,0.32,1,33,오지환,LG,0.269,45,135,122,1.11,11,0.58,4.07,0.2,84.1,0.278
2022,34,오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,0,7,34,오재일,삼성,0.268,57,8,2,133,7,0.491,0.345,0.836,31,0.304,0.333,34,오재일,삼성,0.268,63,88,130,0.68,5,0.43,4.01,0.223,79.3,0.278
2022,35,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0,35,이지영,키움,0.267,20,2,2,44,16,0.331,0.303,0.634,26,0.262,0.364,35,이지영,키움,0.267,19,158,106,1.49,6,0.45,3.37,0.064,36.4,0.219
2022,35,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3,35,박민우,NC,0.267,42,5,10,55,7,0.359,0.351,0.71,28,0.264,0,35,박민우,NC,0.267,27,123,111,1.11,4,0.76,3.92,0.092,53.5,0.248
2022,37,배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,5,4,37,배정대,KT,0.266,54,0,4,126,2,0.356,0.339,0.695,34,0.281,0.333,37,배정대,KT,0.266,32,117,134,0.87,9,0.43,4.12,0.091,67.7,0.242
2022,38,최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,0,6,38,최정,SSG,0.266,66,3,19,96,6,0.505,0.386,0.891,27,0.292,0.5,38,최정,SSG,0.266,47,72,142,0.51,9,0.69,3.92,0.239,85.1,0.3
2022,39,최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2,39,최형우,KIA,0.264,73,5,1,92,9,0.421,0.366,0.787,33,0.282,0.286,39,최형우,KIA,0.264,42,114,130,0.88,6,0.79,4.22,0.156,71.1,0.27
2022,40,한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,0,5,40,한유섬,SSG,0.264,66,6,16,137,8,0.478,0.372,0.85,31,0.284,0.111,40,한유섬,SSG,0.264,55,114,91,1.25,15,0.48,4.02,0.214,82.7,0.287
2022,41,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5,41,강승호,두산,0.264,29,0,3,100,8,0.399,0.31,0.709,34,0.299,0.25,41,강승호,두산,0.264,39,98,134,0.73,11,0.29,3.45,0.135,55.1,0.239
2022,42,황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2,42,황재균,KT,0.262,53,5,5,99,17,0.38,0.335,0.715,36,0.303,0,42,황재균,KT,0.262,38,132,154,0.86,4,0.54,3.82,0.118,63.2,0.246
2022,43,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4,43,정수빈,두산,0.259,39,1,1,56,2,0.331,0.323,0.654,29,0.237,0,43,정수빈,두산,0.259,19,153,95,1.61,3,0.7,3.81,0.072,47.3,0.228
2022,44,추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,2,4,44,추신수,SSG,0.259,71,1,13,100,6,0.43,0.382,0.812,29,0.299,0.25,44,추신수,SSG,0.259,37,101,106,0.95,5,0.71,4.09,0.171,73.8,0.279
2022,45,하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,1,3,45,하주석,한화,0.258,31,1,3,126,4,0.342,0.309,0.651,29,0.255,0.75,45,하주석,한화,0.258,25,134,73,1.84,9,0.25,3.83,0.083,49.4,0.225
2022,46,황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5,46,황대인,KIA,0.256,36,2,7,92,20,0.401,0.315,0.716,34,0.296,0,46,황대인,KIA,0.256,41,121,146,0.83,8,0.39,3.53,0.145,56.4,0.242
2022,47,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2,47,유강남,LG,0.255,34,1,11,98,9,0.351,0.326,0.677,27,0.255,0.385,47,유강남,LG,0.255,24,102,112,0.91,4,0.35,3.93,0.096,48.2,0.234
