연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,포지션,투구유형,타격유형,출생연도
2019,46,송광민,한화,0.264,122,486,454,50,120,21,0,7,162,51,3,5,21,0,3,91,18,0.357,0.298,0.655,35,0.261,0.333,28,128,120,1.07,2,0.23,3.39,0.093,44.7,0.223,,,,,,,,,,,
2019,47,정은원,한화,0.262,142,624,564,83,148,27,6,8,211,57,6,6,48,0,0,101,6,0.374,0.317,0.691,44,0.241,0.333,41,175,146,1.2,2,0.48,3.99,0.112,69.3,0.236,,,,,,,,,,,
2019,48,박찬호,KIA,0.26,133,541,504,60,131,15,4,2,160,49,5,2,26,0,4,83,8,0.317,0.3,0.617,36,0.308,0,21,173,119,1.45,4,0.31,3.88,0.058,51.9,0.214,,,,,,,,,,,
2019,49,이성열,한화,0.256,129,476,414,60,106,21,1,21,192,85,1,4,48,1,9,114,7,0.464,0.343,0.807,25,0.314,0.077,43,110,88,1.25,12,0.42,3.81,0.208,67.6,0.27,,,,,,,,,,,
2019,50,오지환,LG,0.252,134,547,473,63,119,23,5,9,179,53,7,3,57,1,7,113,7,0.378,0.339,0.717,32,0.256,0,37,122,122,1,8,0.5,4.11,0.127,66.7,0.247,,,,,,,,,,,
2019,51,박경수,KT,0.247,137,490,421,43,104,24,0,10,158,65,4,6,55,1,4,102,14,0.375,0.335,0.71,24,0.281,0.154,34,88,133,0.66,8,0.54,3.93,0.128,54.2,0.245,,,,,,,,,,,
2019,52,김성현,SK,0.246,144,472,426,45,105,16,2,1,128,34,8,3,33,0,2,43,15,0.3,0.302,0.602,24,0.216,0,19,148,133,1.11,3,0.77,3.47,0.054,37,0.211,,,,,,,,,,,
2019,53,이원석,삼성,0.246,111,455,395,44,97,20,0,19,174,76,2,7,43,0,8,73,10,0.441,0.327,0.768,24,0.304,0,39,87,145,0.6,4,0.59,4,0.195,59.7,0.257,,,,,,,,,,,
2019,54,박해민,삼성,0.239,144,581,506,64,121,16,7,5,166,44,12,3,58,0,2,82,4,0.328,0.318,0.646,34,0.239,0.143,28,152,154,0.99,2,0.71,4.1,0.089,59.8,0.225,,,,,,,,,,,
2019,55,오선진,한화,0.224,122,453,392,37,88,16,0,3,113,36,10,3,38,0,10,72,8,0.288,0.307,0.595,22,0.263,0,19,111,124,0.9,5,0.53,3.92,0.064,37.9,0.21,,,,,,,,,,,
2018,1,김현수,LG,0.362,117,511,453,95,164,39,2,20,267,101,0,10,47,6,1,61,9,0.589,0.415,1.004,48,0.419,0,61,136,102,1.33,8,0.77,3.66,0.227,99.3,0.334,,,,,,,,,,,
2018,2,양의지,두산,0.358,133,503,439,84,157,29,1,23,257,77,0,6,45,6,13,40,13,0.585,0.427,1.012,48,0.317,0.333,53,95,153,0.62,6,1.13,3.65,0.228,99,0.338,,,,,,,,,,,
2018,3,이정후,넥센,0.355,109,520,459,81,163,34,2,6,219,57,3,8,42,3,8,58,5,0.477,0.412,0.889,46,0.37,0,42,114,132,0.86,4,0.72,3.75,0.122,87.3,0.305,,,,,,,,,,,
2018,4,박병호,넥센,0.345,113,488,400,88,138,20,0,43,287,112,0,3,68,10,17,114,9,0.718,0.457,1.175,46,0.312,0.333,63,73,78,0.94,9,0.6,4.12,0.373,114.8,0.385,,,,,,,,,,,
2018,5,안치홍,KIA,0.342,130,549,494,88,169,38,1,23,278,118,0,9,36,1,10,57,13,0.563,0.392,0.955,53,0.403,0.333,62,113,164,0.69,15,0.63,3.43,0.221,100,0.317,,,,,,,,,,,
2018,6,전준우,롯데,0.342,144,614,556,118,190,36,2,33,329,90,1,2,48,1,7,82,12,0.592,0.4,0.992,59,0.379,0.3,71,146,140,1.04,4,0.59,3.78,0.25,115.4,0.328,,,,,,,,,,,
2018,7,김주찬,KIA,0.34,121,471,429,71,146,23,0,18,223,93,2,10,23,5,7,57,15,0.52,0.375,0.895,42,0.361,0.333,41,108,128,0.84,8,0.4,3.3,0.179,78.2,0.299,,,,,,,,,,,
2018,8,최형우,KIA,0.339,143,609,528,92,179,34,1,25,290,103,0,8,66,7,7,87,17,0.549,0.414,0.963,47,0.342,1,60,123,147,0.84,11,0.76,4.06,0.21,110.3,0.324,,,,,,,,,,,
2018,9,유한준,KT,0.339,121,480,428,59,145,21,1,20,228,83,2,1,47,3,2,53,9,0.533,0.406,0.939,46,0.385,0.1,42,109,122,0.89,9,0.89,3.86,0.194,83.9,0.316,,,,,,,,,,,
2018,10,김재환,두산,0.334,139,602,527,104,176,36,1,44,346,133,0,7,59,4,9,134,6,0.657,0.405,1.062,51,0.295,1,81,102,122,0.84,16,0.44,3.83,0.323,128.6,0.347,,,,,,,,,,,
2018,11,최주환,두산,0.333,138,590,519,87,173,39,6,26,302,108,0,10,51,1,10,89,5,0.582,0.397,0.979,50,0.368,0.25,71,103,164,0.63,13,0.57,4.17,0.249,113.6,0.324,,,,,,,,,,,
2018,11,이대호,롯데,0.333,144,604,543,81,181,30,0,37,322,125,0,4,43,7,14,75,18,0.593,0.394,0.987,55,0.307,0.444,67,130,161,0.81,17,0.57,3.66,0.26,112,0.326,,,,,,,,,,,
2018,13,구자욱,삼성,0.333,116,529,478,100,159,26,5,20,255,84,1,2,43,2,5,110,4,0.533,0.392,0.925,50,0.378,0,51,94,117,0.8,9,0.39,4.05,0.201,94.4,0.31,,,,,,,,,,,
2018,14,채은성,LG,0.331,139,578,529,78,175,36,2,25,290,119,0,5,35,1,9,97,12,0.548,0.379,0.927,54,0.362,0,63,130,132,0.98,7,0.36,3.74,0.217,99.9,0.308,,,,,,,,,,,
